produit,Latitude,Longitude,region,URL,type
Munster,47.8462080674,6.85474549269,Grand Est,<a href=https://www.inao.gouv.fr/produit/14652 style=color:white, target=_blank >Institut national de l'origine et de la qualité</a>, Fromages
Munster,47.8718454361,6.8055791741,Grand Est,<a href=https://www.inao.gouv.fr/produit/14652 style=color:white, target=_blank >Institut national de l'origine et de la qualité</a>, Fromages
Munster,47.8913024927,6.87663647751,Grand Est,<a href=https://www.inao.gouv.fr/produit/14652 style=color:white, target=_blank >Institut national de l'origine et de la qualité</a>, Fromages
Munster,47.8957257819,6.74118658301,Grand Est,<a href=https://www.inao.gouv.fr/produit/14652 style=color:white, target=_blank >Institut national de l'origine et de la qualité</a>, Fromages
Munster,47.9111858178,6.71995195157,Grand Est,<a href=https://www.inao.gouv.fr/produit/14652 style=color:white, target=_blank >Institut national de l'origine et de la qualité</a>, Fromages
Munster,47.933079987,6.6637417919,Grand Est,<a href=https://www.inao.gouv.fr/produit/14652 style=color:white, target=_blank >Institut national de l'origine et de la qualité</a>, Fromages
Munster,47.9369910932,6.88525672777,Grand Est,<a href=https://www.inao.gouv.fr/produit/14652 style=color:white, target=_blank >Institut national de l'origine et de la qualité</a>, Fromages
Munster,47.9501646541,6.56784449876,Grand Est,<a href=https://www.inao.gouv.fr/produit/14652 style=color:white, target=_blank >Institut national de l'origine et de la qualité</a>, Fromages
Munster,47.9512129215,6.77493861259,Grand Est,<a href=https://www.inao.gouv.fr/produit/14652 style=color:white, target=_blank >Institut national de l'origine et de la qualité</a>, Fromages
Farine de châtaigne corse – Farina castagnina corsa,42.4359731293,9.34821605679,Corse,<a href=https://www.inao.gouv.fr/produit/7109 style=color:white, target=_blank >Institut national de l'origine et de la qualité</a>, Fruits
Farine de châtaigne corse – Farina castagnina corsa,42.437399462,9.13509572418,Corse,<a href=https://www.inao.gouv.fr/produit/7109 style=color:white, target=_blank >Institut national de l'origine et de la qualité</a>, Fruits
Crémant de Bordeaux,45.096401427,-0.381910358061,Nouvelle-Aquitaine,<a href=https://www.inao.gouv.fr/produit/15429 style=color:white, target=_blank >Institut national de l'origine et de la qualité</a>, Vins
Crémant de Bordeaux,45.097903949,-0.651002369546,Nouvelle-Aquitaine,<a href=https://www.inao.gouv.fr/produit/15429 style=color:white, target=_blank >Institut national de l'origine et de la qualité</a>, Vins
Crémant de Bordeaux,45.0983652507,-0.0904776374453,Nouvelle-Aquitaine,<a href=https://www.inao.gouv.fr/produit/15429 style=color:white, target=_blank >Institut national de l'origine et de la qualité</a>, Vins
